"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11"
0.088,-79.0976814760236,-101.754379435598,-84.0695372898555,-78.6153918006234,-84.8983803589773,-80.8731671354988,-86.1668206928993,-91.4367656040473,-98.7440582461201,-87.3119336396419
0.089,-79.0711211197349,-101.676432621142,-84.0299441491063,-78.5769200824927,-84.8851372014249,-80.845647896316,-86.1204466021688,-91.3815295389709,-98.6847179620259,-87.2801673564697
0.09,-79.0446360110654,-101.598800540586,-83.9905064912583,-78.5386258212785,-84.8718763297249,-80.8182227842214,-86.0741935828446,-91.3265172757422,-98.6255616717199,-87.2485329645626
0.091,-79.0182256825581,-101.521480515848,-83.9512227984733,-78.5005077395941,-84.8585980199588,-80.7908911399896,-86.0280610441025,-91.2717259966676,-98.5665875552434,-87.2170293184298
0.092,-78.99188967057,-101.444469901081,-83.9120915785582,-78.4625645713274,-84.8453025419806,-80.7636523113336,-85.9820483957027,-91.2171529378575,-98.5077938204047,-87.1856552856935
0.093,-78.9656275152347,-101.36776608218,-83.873111364375,-78.4247950615425,-84.8319901595737,-80.7365056528067,-85.9361550481255,-91.1627953878797,-98.4491787021963,-87.1544097469045
0.094,-78.9394387604252,-101.291366476299,-83.834280713267,-78.3871979663815,-84.8186611306022,-80.7094505257072,-85.8903804126987,-91.1086506864519,-98.3907404622266,-87.1232915953608
0.095,-78.9133229537168,-101.21526853137,-83.7955982065019,-78.3497720529658,-84.8053157071583,-80.6824862979831,-85.8447239017185,-91.0547162231757,-98.3324773881674,-87.0922997369285
0.096,-78.8872796463505,-101.13946972564,-83.7570624487301,-78.3125160992982,-84.7919541357048,-80.65561234414,-85.7991849285649,-91.0009894363085,-98.2743877932144,-87.0614330898656
0.097,-78.8613083931968,-101.063967567205,-83.7186720674579,-78.275428894164,-84.7785766572139,-80.6288280451493,-85.7537629078092,-90.9474678115715,-98.216470015562,-87.0306905846474
0.098,-78.8354087527202,-100.988759593563,-83.6804257125357,-78.2385092370335,-84.7651835073016,-80.6021327883587,-85.7084572553172,-90.8941488809941,-98.158722417892,-87.0000711637961
0.099,-78.8095802869435,-100.913843371165,-83.6423220556601,-78.2017559379635,-84.7517749163579,-80.575525967404,-85.663267388346,-90.8410302217928,-98.1011433868746,-86.9695737817113
